Scientific name,Common name,Schooling?,Pelagic/Demersal,Scale Type,Citation,Notes
Agonopsis vulsa,Northern spearnose poacher,solitary,demersal,plates,Fishes of Alaska,
Ammodytes personatus,sandlance,obligatory schooling,both,scales,Fishes of Alaska,plicae (folds) 
Anoplarchus,slender coxcomb or high coxcomb,solitary,demersal,scales,Fishes of Alaska,
Anoplopoma fimbria,sablefish,solitary,demersal,scales,Fishes of Alaska,
Apodicthys flavidus ,penpoint gunnel,solitary,demersal,scales,Fishes of Alaska,
Artedius spp.,sculpins,solitary,demersal,scales,Fishes of Alaska,
Aulorhynchus flavidus,tubesnout,obligatory schooling,pelagic ,plates,Fishes of Alaska,
Blepsias bilobus,crested sculpin,solitary,demersal,plates,Fishes of Alaska,prickles (plate-like)
Blepsias cirrhosus,silverspotted sculpin,solitary,demersal,plates,Fishes of Alaska,prickles (plate-like)
Brachyistius frenatus,kelp perch,faculative schooling,pelagic ,scales,Fishes of Alaska,
Chitonotus pugetensis,roughback sculpin,solitary,demersal,scales,Fishes of Alaska,
Citharichthys sordidus,pacific sanddab,solitary,demersal,scales,Fishes of Alaska,
Citharichthys stigmaeus,speckled sanddab,solitary,demersal,scales,Fishes of Alaska,
Clinocottus acuticeps,sharpnose sculpin,solitary,demersal,no scales,Fishes of Alaska,
Clinocottus embryum,calico sculpin,solitary,demersal,no scales,Fishes of Alaska,
Clupea pallasii,pacific herring,obligatory schooling,pelagic ,deciduous scales,Fishes of Alaska,
Cottus,sculpins,solitary,demersal,no scales,Fishes of Alaska,
Cottus_Leptocottus,,solitary,demersal,no scales,Fishes of Alaska,
Cryptacanthodes giganteus,giant wrymouth,solitary,demersal,some scales,Fishes of Alaska,
Cymatogaster aggregata,shiner perch,faculative schooling,pelagic ,scales,Fishes of Alaska,
Embiotoca lateralis,striped surfperch,faculative schooling,pelagic ,scales,Fishes of Alaska,
Enophrys bison,buffalo sculpin,solitary,demersal,some scales,Fishes of Alaska,
Enophrys lucasi,leister sculpin,solitary,demersal,some scales,Fishes of Alaska,
Gadus,cods,solitary,demersal,scales,Fishes of Alaska,
Gasterosteus aculeatus,three-spine stickleback,obligatory schooling,both,plates,Fishes of Alaska,
Gobiesox maeandricus,northern clingfish,solitary,demersal,no scales,Fishes of Alaska,
Hemilepidotus spp.,irish lords (red),solitary,demersal,scales,Fishes of Alaska,
Hexagrammos,greenlings,solitary,demersal,scales,Fishes of Alaska,
