"","bay_year","name","value","bay_year2","intx","habitat","type","place_name","date","julian","latitude","longitude","year"
"1","2021_BOST_A_1","Agonopsis vulsa",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"2","2021_BOST_A_1","Ammodytes personatus",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"3","2021_BOST_A_1","Anoplarchus",0.00671019223793979,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"4","2021_BOST_A_1","Anoplopoma fimbria",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"5","2021_BOST_A_1","Apodichthys flavidus",0.00204026115342764,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"6","2021_BOST_A_1","Artedius spp.",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"7","2021_BOST_A_1","Aulorhynchus flavidus",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"8","2021_BOST_A_1","Blepsias bilobus",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"9","2021_BOST_A_1","Blepsias cirrhosus",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"10","2021_BOST_A_1","Brachyistius frenatus",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"11","2021_BOST_A_1","Chitonotus pugetensis",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"12","2021_BOST_A_1","Citharichthys sordidus",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"13","2021_BOST_A_1","Citharichthys stigmaeus",0.00285636561479869,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"14","2021_BOST_A_1","Clinocottus acuticeps",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"15","2021_BOST_A_1","Clinocottus embryum",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"16","2021_BOST_A_1","Clupea pallasii",0.184305395571472,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"17","2021_BOST_A_1","Cottus",0.00194958287994197,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"18","2021_BOST_A_1","Cottus_Leptocottus",0.078739026729116,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"19","2021_BOST_A_1","Cryptacanthodes giganteus",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"20","2021_BOST_A_1","Cymatogaster aggregata",0.143038245648748,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"21","2021_BOST_A_1","Embiotoca lateralis",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"22","2021_BOST_A_1","Enophrys bison",0.0121055495103373,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"23","2021_BOST_A_1","Gadus",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"24","2021_BOST_A_1","Gasterosteus aculeatus",0.00158686978599927,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"25","2021_BOST_A_1","Gobiesox maeandricus",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"26","2021_BOST_A_1","Hemilepidotus spp.",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"27","2021_BOST_A_1","Hexagrammos",0.00190424374319913,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"28","2021_BOST_A_1","Hexagrammos decagrammus",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"29","2021_BOST_A_1","Hippoglossus stenolepis",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"30","2021_BOST_A_1","Hypomesus",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"31","2021_BOST_A_1","Lepidogobius lepidus",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"32","2021_BOST_A_1","Lepidopsetta",0.00924918389553863,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"33","2021_BOST_A_1","Liparis mucosus",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"34","2021_BOST_A_1","Lumpenus sagitta",0.00841258647980996,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"35","2021_BOST_A_1","Microgadus proximus",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"36","2021_BOST_A_1","Myoxocephalus",0.024499075346921,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"37","2021_BOST_A_1","Nautichthys oculofasciatus",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"38","2021_BOST_A_1","Oligocottus maculosus",0.0019949220166848,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"39","2021_BOST_A_1","Oligocottus snyderi",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"40","2021_BOST_A_1","Oncorhynchus",0.402868995445342,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"41","2021_BOST_A_1","Oncorhynchus clarkii",0.0492421601793963,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"42","2021_BOST_A_1","Oncorhynchus tshawytscha",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"43","2021_BOST_A_1","Ophiodon elongatus",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"44","2021_BOST_A_1","Oxylebius pictus",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"45","2021_BOST_A_1","Pholis laeta",0.0123775843307943,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"46","2021_BOST_A_1","Phytichthys chirus",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"47","2021_BOST_A_1","Pleuronectidae 1",0.00194958287994197,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"48","2021_BOST_A_1","Pleuronectidae 2",0.0179536653692065,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"49","2021_BOST_A_1","Pleuronectidae 3",0.000136017410228509,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"50","2021_BOST_A_1","Pleuronichthys coenosus",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"51","2021_BOST_A_1","Podothecus accipenserinus",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"52","2021_BOST_A_1","Rhamphocottus richardsonii",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"53","2021_BOST_A_1","Rhinogobiops nicholsii",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"54","2021_BOST_A_1","Ronquilus jordani",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"55","2021_BOST_A_1","Salvelinus",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"56","2021_BOST_A_1","Scorpaenichthys marmoratus",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"57","2021_BOST_A_1","Sebastes 1",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"58","2021_BOST_A_1","Sebastes 2",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"59","2021_BOST_A_1","Sebastes 3",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"60","2021_BOST_A_1","Sebastolobus",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"61","2021_BOST_A_1","Stichaeidae",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"62","2021_BOST_A_1","Stichaeus punctatus",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"63","2021_BOST_A_1","Synchirus gilli",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"64","2021_BOST_A_1","Syngnathus leptorhynchus",0.0360804937711562,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"65","2021_BOST_A_1","Xiphister",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"66","2021_BOST_A_1","Zaprora silenus",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"67","2021_BOST_A_1","Mallotus villosus",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"68","2021_BOST_A_1","Pallasina barbata",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"69","2021_BOST_A_1","Trichodon trichodon",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"70","2021_BOST_A_1","Enophrys lucasi",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"71","2021_BOST_A_2","Agonopsis vulsa",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"72","2021_BOST_A_2","Ammodytes personatus",0.00773297796801041,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"73","2021_BOST_A_2","Anoplarchus",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"74","2021_BOST_A_2","Anoplopoma fimbria",0,"BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
