ABL_Extraction_ID,SampleCode,Sample_label,Sample_rep,Sample_date,Extraction_date
e00289,2021_SYLB_A_1,Sylburn harbor eel,1,6/8/21,11/18/21
e00290,2021_SYLB_A_2,Sylburn harbor eel,2,6/8/21,11/18/21
e00291,2021_SYLB_A_3,Sylburn harbor eel,3,6/8/21,11/18/21
e00297,2021_REEF_A_1,Reef harbor eel,1,6/10/21,11/18/21
e00298,2021_REEF_A_2,Reef harbor eel,2,6/10/21,11/18/21
e00299,2021_REEF_A_3,Reef harbor eel,3,6/10/21,11/18/21
e00305,2021_KAHS_A_1,Kah shakes eel,1,6/11/21,11/18/21
e00306,2021_KAHS_A_2,Kah shakes eel,2,6/11/21,11/18/21
e00307,2021_KAHS_A_3,Kah shakes eel,3,6/11/21,11/18/21
e00312,Extraction blank,,,,11/18/21
e00314,2021_DALL_A_1,Dall bay eel,1,6/14/21,11/18/21
e00315,2021_DALL_A_2,Dall bay eel,2,6/14/21,11/18/21
e00316,2021_DALL_A_3,Dall bay eel,3,6/14/21,11/18/21
e00322,2021_MOIR_A_1,Moira sound eel,1,6/22/21,11/18/21
e00323,2021_MOIR_A_2,Moira sound eel,2,6/22/21,11/18/21
e00324,2021_MOIR_A_3,Moira sound eel,3,6/22/21,11/18/21
e00330,2021_NICH_A_1,Nichols bay eel,1,6/26/21,11/18/21
e00331,2021_NICH_A_2,Nichols bay eel,2,6/26/21,11/18/21
e00332,2021_NICH_A_3,Nichols bay eel,3,6/26/21,11/18/21
e00336,Extraction blank,,,,11/18/21
e00339,2021_TAHB_A_1,Tah bay eel,1,6/27/21,11/22/21
e00340,2021_TAHB_A_2,Tah bay eel,2,6/27/21,11/22/21
e00341,2021_TAHB_A_3,Tah bay eel,3,6/27/21,11/22/21
e00364,2021_BOST_A_1,Bostwick inlet eel,1,8/12/21,11/22/21
e00365,2021_BOST_A_2,Bostwick inlet eel,2,8/12/21,11/22/21
e00366,2021_BOST_A_3,Bostwick inlet eel,3,8/12/21,11/22/21
e00372,Extraction blank,,,,11/22/21
