"","bay_year2","habitat","julian","latitude","longitude","year"
"1","BOST_A_2021","eelgrass",223,55.236796,-131.750555,2021
"2","BOST_B_2021","kelp",224,55.219938,-131.735973,2021
"3","DALL_A_2021","eelgrass",165,55.156451,-131.749909,2021
"4","DALL_B_2021","kelp",166,55.155254,-131.742113,2021
"5","HUNT_A_2021","eelgrass",179,54.872263,-132.308073,2021
"6","KAHS_A_2021","eelgrass",162,55.0426,-130.9995,2021
"7","KAHS_B_2021","kelp",163,55.066147,-130.989508,2021
"8","MOIR_A_2021","eelgrass",173,54.9711,-132.0924,2021
"9","MOIR_B_2021","kelp",175,54.985511,-132.109731,2021
"10","NICH_A_2021","eelgrass",177,54.740107,-132.153373,2021
"11","NICH_B_2021","kelp",176,54.726046,-132.124284,2021
"12","REEF_A_2021","eelgrass",161,54.9684,-131.2492,2021
"13","REEF_B_2021","kelp",164,54.974693,-131.255107,2021
"14","SYLB_A_2021","eelgrass",159,55.179058,-131.582105,2021
"15","SYLB_B_2021","kelp",160,55.176,-131.5972,2021
"16","TAHB_A_2021","mixed",178,54.830481,-132.286086,2021
"17","ABES_A_2022","eelgrass",199,55.554811,-133.174355,2022
"18","BLAQ_A_2022","mixed",183,55.62082,-133.38664,2022
"19","CLAM_A_2022","mixed",178,55.517981,-133.158075,2022
"20","GUKT_A_2022","eelgrass",193,55.739816,-133.312022,2022
"21","HALI_A_2022","mixed",207,55.216791,-132.969439,2022
"22","HARM_A_2022","mixed",182,55.719394,-133.40571,2022
"23","ILDE_A_2022","mixed",177,55.577071,-133.26439,2022
"24","KARH_A_2022","mixed",208,55.789869,-133.32157,2022
"25","KLWA_A_2022","eelgrass",206,55.577767,-133.0941,2022
"26","NATZ_A_2022","eelgrass",196,55.25051,-132.883,2022
"27","NFEI_A_2022","eelgrass",198,55.49709,-133.17,2022
"28","NOSK_A_2022","eelgrass",194,55.7073,-133.342,2022
"29","NSTP_A_2022","mixed",184,55.665754,-133.40493,2022
"30","REFU_A_2022","eelgrass",197,55.282137,-133.334028,2022
"31","ROSA_A_2022","mixed",179,55.577046,-133.29498,2022
"32","SARI_A_2022","mixed",181,55.418589,-133.45424,2022
"33","SFEI_A_2022","eelgrass",192,55.48442,-133.17549,2022
"34","SHIN_A_2022","eelgrass",195,55.59929,-133.16,2022
"35","TRIS_A_2022","mixed",180,55.418367,-133.49597,2022
"36","BTRB_A_2021","eelgrass",219,55.585855,-133.215512,2021
"37","NFEI_B_2021","mixed",221,55.50083,-133.1672,2021
