"","taxon","taxonomic_level","species","genus","family","order"
"1","Acipenser fulvescens","species","Acipenser fulvescens","Acipenser","Acipenseridae","Acipenseriformes"
"2","Agonopsis vulsa","species","Agonopsis vulsa","Agonopsis","Agonidae","Perciformes"
"3","Ammodytes personatus","species","Ammodytes personatus","Ammodytes","Ammodytidae","Uranoscopiformes"
"4","Anoplarchus","genus","Anoplarchus insignis","Anoplarchus","Stichaeidae","Perciformes"
"5","Anoplarchus","genus","Anoplarchus purpurescens","Anoplarchus","Stichaeidae","Perciformes"
"6","Anoplopoma fimbria","species","Anoplopoma fimbria","Anoplopoma","Anoplopomatidae","Perciformes"
"7","Apodichthys flavidus","species","Apodichthys flavidus","Apodichthys","Pholidae","Perciformes"
"8","Artedius fenestralis","species","Artedius fenestralis","Artedius","Cottidae","Perciformes"
"9","Artedius harringtoni","species","Artedius harringtoni","Artedius","Cottidae","Perciformes"
"10","Artedius lateralis","species","Artedius lateralis","Artedius","Cottidae","Perciformes"
"11","Aulorhynchus flavidus","species","Aulorhynchus flavidus","Aulorhynchus","Aulorhynchidae","Perciformes"
"12","Blepsias bilobus","species","Blepsias bilobus","Blepsias","Agonidae","Perciformes"
"13","Blepsias cirrhosus","species","Blepsias cirrhosus","Blepsias","Agonidae","Perciformes"
"14","Brachyistius frenatus","species","Brachyistius frenatus","Brachyistius","Embiotocidae",""
"15","Chitonotus pugetensis","species","Chitonotus pugetensis","Chitonotus","Cottidae","Perciformes"
"16","Citharichthys sordidus","species","Citharichthys sordidus","Citharichthys","Cyclopsettidae","Pleuronectiformes"
"17","Citharichthys stigmaeus","species","Citharichthys stigmaeus","Citharichthys","Cyclopsettidae","Pleuronectiformes"
"18","Clinocottus acuticeps","species","Clinocottus acuticeps","Clinocottus","Cottidae","Perciformes"
"19","Clinocottus embryum","species","Clinocottus embryum","Clinocottus","Cottidae","Perciformes"
"20","Clupea pallasii","species","Clupea pallasii","Clupea","Clupeidae","Clupeiformes"
"21","Cottus","genus","Cottus asper","Cottus","Cottidae","Perciformes"
"22","Cottus","genus","Cottus beldingii","Cottus","Cottidae","Perciformes"
"23","Cottus","genus","Cottus gulosus","Cottus","Cottidae","Perciformes"
"24","Cottus","genus","Cottus perplexus","Cottus","Cottidae","Perciformes"
"25","Cottus","genus","Cottus aleuticus","Cottus","Cottidae","Perciformes"
"26","Cottus","genus","Cottus bairdii","Cottus","Cottidae","Perciformes"
"27","Cottus","genus","Cottus bendirei","Cottus","Cottidae","Perciformes"
"28","Cottus","genus","Cottus cognatus","Cottus","Cottidae","Perciformes"
"29","Cottus","genus","Cottus confusus","Cottus","Cottidae","Perciformes"
"30","Cottus","genus","Cottus pitensis","Cottus","Cottidae","Perciformes"
"31","Cottus","genus","Cottus rhotheus","Cottus","Cottidae","Perciformes"
"32","Cottus_Leptocottus","genus","Cottus asper","Cottus","Cottidae","Perciformes"
"33","Cottus_Leptocottus","genus","Cottus beldingii","Cottus","Cottidae","Perciformes"
"34","Cottus_Leptocottus","genus","Cottus gulosus","Cottus","Cottidae","Perciformes"
"35","Cottus_Leptocottus","genus","Cottus marginatus","Cottus","Cottidae","Perciformes"
"36","Cottus_Leptocottus","genus","Cottus perplexus","Cottus","Cottidae","Perciformes"
"37","Cottus_Leptocottus","genus","Cottus ricei","Cottus","Cottidae","Perciformes"
"38","Cottus_Leptocottus","genus","Leptocottus armatus","Leptocottus","Cottidae","Perciformes"
"39","Cottus_Leptocottus","genus","Cottus aleuticus","Cottus","Cottidae","Perciformes"
"40","Cottus_Leptocottus","genus","Cottus bairdii","Cottus","Cottidae","Perciformes"
"41","Cottus_Leptocottus","genus","Cottus bendirei","Cottus","Cottidae","Perciformes"
"42","Cottus_Leptocottus","genus","Cottus cognatus","Cottus","Cottidae","Perciformes"
"43","Cottus_Leptocottus","genus","Cottus confusus","Cottus","Cottidae","Perciformes"
"44","Cottus_Leptocottus","genus","Cottus pitensis","Cottus","Cottidae","Perciformes"
"45","Cottus_Leptocottus","genus","Cottus rhotheus","Cottus","Cottidae","Perciformes"
"46","Cottus_Leptocottus","genus","Cottus carolinae","Cottus","Cottidae","Perciformes"
