"","bay_year","bay_year2","intx","habitat","type","place_name","date","julian","latitude","longitude","year"
"1","2022_ABES_A_1","ABES_A_2022","eelgrass_edna","eelgrass","edna","Abbess Island",2022-07-18,199,55.554811,-133.174355,2022
"2","2022_ABES_A_2","ABES_A_2022","eelgrass_edna","eelgrass","edna","Abbess Island",2022-07-18,199,55.554811,-133.174355,2022
"3","2022_ABES_A_3","ABES_A_2022","eelgrass_edna","eelgrass","edna","Abbess Island",2022-07-18,199,55.554811,-133.174355,2022
"4","ABES_A_2022","ABES_A_2022","eelgrass_seine","eelgrass","seine","Abbess Island",2022-07-18,199,55.554811,-133.174355,2022
"5","2022_BLAQ_A_1","BLAQ_A_2022","mixed_edna","mixed","edna","Blanquizal Point",2022-07-02,183,55.62082,-133.38664,2022
"6","2022_BLAQ_A_2","BLAQ_A_2022","mixed_edna","mixed","edna","Blanquizal Point",2022-07-02,183,55.62082,-133.38664,2022
"7","2022_BLAQ_A_3","BLAQ_A_2022","mixed_edna","mixed","edna","Blanquizal Point",2022-07-02,183,55.62082,-133.38664,2022
"8","BLAQ_A_2022","BLAQ_A_2022","eelgrass_seine","eelgrass","seine","Blanquizal Point",2022-07-02,183,55.62082,-133.38664,2022
"9","2021_BOST_A_1","BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"10","2021_BOST_A_2","BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"11","2021_BOST_A_3","BOST_A_2021","eelgrass_edna","eelgrass","edna","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"12","BOST_A_2021","BOST_A_2021","eelgrass_seine","eelgrass","seine","Bostwick Inlet",2021-08-11,223,55.236796,-131.750555,2021
"13","2021_BOST_B_1","BOST_B_2021","kelp_edna","kelp","edna","Bostwick Inlet",2021-08-12,224,55.219938,-131.735973,2021
"14","2021_BOST_B_2","BOST_B_2021","kelp_edna","kelp","edna","Bostwick Inlet",2021-08-12,224,55.219938,-131.735973,2021
"15","2021_BOST_B_3","BOST_B_2021","kelp_edna","kelp","edna","Bostwick Inlet",2021-08-12,224,55.219938,-131.735973,2021
"16","BOST_B_2021","BOST_B_2021","kelp_seine","kelp","seine","Bostwick Inlet",2021-08-12,224,55.219938,-131.735973,2021
"17","2022_CLAM_A_1","CLAM_A_2022","mixed_edna","mixed","edna","Clam island",2022-06-27,178,55.517981,-133.158075,2022
"18","2022_CLAM_A_2","CLAM_A_2022","mixed_edna","mixed","edna","Clam island",2022-06-27,178,55.517981,-133.158075,2022
"19","2022_CLAM_A_3","CLAM_A_2022","mixed_edna","mixed","edna","Clam island",2022-06-27,178,55.517981,-133.158075,2022
"20","CLAM_A_2022","CLAM_A_2022","mixed_seine","mixed","seine","Clam island",2022-06-27,178,55.517981,-133.158075,2022
"21","2021_DALL_A_1","DALL_A_2021","eelgrass_edna","eelgrass","edna","Dall bay",2021-06-14,165,55.156451,-131.749909,2021
"22","2021_DALL_A_2","DALL_A_2021","eelgrass_edna","eelgrass","edna","Dall bay",2021-06-14,165,55.156451,-131.749909,2021
"23","2021_DALL_A_3","DALL_A_2021","eelgrass_edna","eelgrass","edna","Dall bay",2021-06-14,165,55.156451,-131.749909,2021
"24","DALL_A_2021","DALL_A_2021","eelgrass_seine","eelgrass","seine","Dall bay",2021-06-14,165,55.156451,-131.749909,2021
"25","2021_DALL_B_1","DALL_B_2021","kelp_edna","kelp","edna","Dall bay",2021-06-15,166,55.155254,-131.742113,2021
"26","2021_DALL_B_2","DALL_B_2021","kelp_edna","kelp","edna","Dall bay",2021-06-15,166,55.155254,-131.742113,2021
"27","2021_DALL_B_3","DALL_B_2021","kelp_edna","kelp","edna","Dall bay",2021-06-15,166,55.155254,-131.742113,2021
"28","DALL_B_2021","DALL_B_2021","kelp_seine","kelp","seine","Dall bay",2021-06-15,166,55.155254,-131.742113,2021
"29","2022_GUKT_A_1","GUKT_A_2022","eelgrass_edna","eelgrass","edna","Guktu Bay",2022-07-12,193,55.739816,-133.312022,2022
"30","2022_GUKT_A_2","GUKT_A_2022","eelgrass_edna","eelgrass","edna","Guktu Bay",2022-07-12,193,55.739816,-133.312022,2022
"31","2022_GUKT_A_3","GUKT_A_2022","eelgrass_edna","eelgrass","edna","Guktu Bay",2022-07-12,193,55.739816,-133.312022,2022
"32","GUKT_A_2022","GUKT_A_2022","eelgrass_seine","eelgrass","seine","Guktu Bay",2022-07-12,193,55.739816,-133.312022,2022
"33","2022_HALI_A_1","HALI_A_2022","mixed_edna","mixed","edna","Halibut Nose",2022-07-26,207,55.216791,-132.969439,2022
"34","2022_HALI_A_2","HALI_A_2022","mixed_edna","mixed","edna","Halibut Nose",2022-07-26,207,55.216791,-132.969439,2022
"35","2022_HALI_A_3","HALI_A_2022","mixed_edna","mixed","edna","Halibut Nose",2022-07-26,207,55.216791,-132.969439,2022
"36","HALI_A_2022","HALI_A_2022","mixed_seine","mixed","seine","Halibut Nose",2022-07-26,207,55.216791,-132.969439,2022
