"","Agonopsis vulsa","Ammodytes personatus","Anoplarchus","Anoplopoma fimbria","Apodichthys flavidus","Artedius spp.","Aulorhynchus flavidus","Blepsias bilobus","Blepsias cirrhosus","Brachyistius frenatus","Chitonotus pugetensis","Citharichthys sordidus","Citharichthys stigmaeus","Clinocottus acuticeps","Clinocottus embryum","Clupea pallasii","Cottus","Cottus_Leptocottus","Cryptacanthodes giganteus","Cymatogaster aggregata","Embiotoca lateralis","Enophrys bison","Gadus","Gasterosteus aculeatus","Gobiesox maeandricus","Hemilepidotus spp.","Hexagrammos","Hexagrammos decagrammus","Hippoglossus stenolepis","Hypomesus","Lepidogobius lepidus","Lepidopsetta","Liparis mucosus","Lumpenus sagitta","Microgadus proximus","Myoxocephalus","Nautichthys oculofasciatus","Oligocottus maculosus","Oligocottus snyderi","Oncorhynchus","Oncorhynchus clarkii","Oncorhynchus tshawytscha","Ophiodon elongatus","Oxylebius pictus","Pholis laeta","Phytichthys chirus","Pleuronectidae 1","Pleuronectidae 2","Pleuronectidae 3","Pleuronichthys coenosus","Podothecus accipenserinus","Rhamphocottus richardsonii","Rhinogobiops nicholsii","Ronquilus jordani","Salvelinus","Scorpaenichthys marmoratus","Sebastes 1","Sebastes 2","Sebastes 3","Sebastolobus","Stichaeidae","Stichaeus punctatus","Synchirus gilli","Syngnathus leptorhynchus","Xiphister","Zaprora silenus","Mallotus villosus","Pallasina barbata","Trichodon trichodon","Enophrys lucasi"
"2022_ABES_A_1",0,0.0252027736482131,0.113336664017663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0535574852331871,0,0.0675025924061576,0,0,0,0.0489667142082828,0,0,0,0,0,0,0,0,0,0,0,0.182694382024172,0,0.0134054658804768,0,0,0,0,0,0,0.108490876629585,0,0.256802140974101,0,0,0.130040904978162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022_ABES_A_2",0,0.0028152506139649,0,0,0,0,0,0,0,0,0,0,0.0825564449572132,0,0,0.0264063468353659,0.0126552666967556,0.01702598952976,0,0.538289082328662,0,0.0561163022535234,0,0.0558445467406354,0,0,0.0466709071994086,0,0,0,0,0,0,0.0103108385619489,0,0,0,0.0759492281100604,0,0.0116447005341034,0,0,0,0,0.0637150956385981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022_ABES_A_3",0,0,0.0379832298758955,0,0,0,0,0,0,0,0,0,0.0633617401338448,0,0,4.27755732851408e-05,0,0.0210501755988216,0,0.251759873586111,0,0.0704068824397644,0,0.0423239438176714,0,0,0.0716583355053397,0,0,0,0,0,0,0.00613713482431319,0,0.181215533680793,0,0.0419664319511453,0,0.00602061986471796,0,0,0,0,0.0617773122085054,0,0.131005664782753,0,0,0,0,0,0,0,0,0,0.00797198142451965,0,0,0,0,0,0,0.00531836473251861,0,0,0,0,0,0
"ABES_A_2022",0,0,0,0,0,0.00293551218549591,0.0671524157336657,0,0,0,0,0,0,0,0,0,0,0.00216960189885337,0,0.500499437791763,0,0.00653360045982754,0,0.0323951224382409,0,0.0467691120698151,0.0166031180334709,0,0,0,0.0255415691440828,0,0,0.0425083526995658,0,0.00303972545913817,0,0,0,0,0,0,0,0,0.119566294077017,0,0,0,0,0,0,0,0,0,0,0,0.00112249181296246,0.0491001375568072,0,0,0,0,0,0.0840635086392944,0,0,0,0,0,0
"2022_BLAQ_A_1",0,0.0147810844587057,0,0,0,0,0,0,0.0453228621761466,0,0,0,0.0178334477301094,0,0,0.139884619073835,0,0,0,0.0555096594627618,0,0,0,0,0.127937221408046,0,0.0152985070414234,0,0,0,0,0,0,0,0,0.0402058199977729,0,0.00813587522397409,0,9.66789395556705e-05,0,0,0,0,0.0165243273174802,0,0,0.0311573595202072,0,0.182786263500235,0,0,0,0,0,0,0.0114662199926651,0,0,0,0,0.277583748452756,0,0.0154638039574044,1.25017469222898e-05,0,0,0,0,0
"2022_BLAQ_A_2",0,0,0.0186605202967715,0,0,0,0,0,0,0,0,0.117671885938616,0.177509364875066,0,0,0.027540788921735,0,0.00576595996388566,0,0.0319280103853188,0,0.0114607606919395,0.00648821434423717,0.00190347731231579,0.0495796629471582,0,0,0.000219040047334844,0,0,0,0,0,0.00216287942687825,0,0.0164199275919358,0,0.0326046396276065,0,0.00602647061758168,0,0,0,0,0.00349293720359169,0,0.0931571693241128,0.024721362249685,0.00387679849591052,0.281567446790237,0,0,0,0,0,0,0,0,0,0,0,0,0.0825602837582754,0.00468239918980635,0,0,0,0,0,0
"2022_BLAQ_A_3",0,0,0.0960486204712591,0,0,0,0,0,0,0,0,0.30231240900642,0.0964370012280589,0,0,0.0667869160947681,0,0.0181644205968772,0,0.0284259939257684,0,0,0,0,0,0,0.0344610297557648,0,0,0,0,0,0,0,0,0,0,0.055051199914664,0,0,0,0,0,0,0,0,0,0,0,0.30231240900642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLAQ_A_2022",0,0,0.0015837619724885,0,0.0135635708506405,0.0105260157055551,0.0283880906985022,0,0.0244144275311529,0.0394963446374444,0,0,0,0,0,0,0,0.000477697938551651,0,0.00216705600730186,0,0,0,0.00468082340844916,0,0.0573718701233042,0.0612319064818755,0.016606301055832,0,0,0,0,0,0.0505407113255756,0,0,0,0,0,0,0,0,0.00751626136198221,0,0.0651030677269475,0,0,0.0155582136227935,0,0,0,0,0.00141438305661759,0,0,0,0.0140874164271655,0.0972967946575666,0,0,0,0,0.193444082666622,0.10108712007701,0,0,0.193444082666622,0,0,0
"2021_BOST_A_1",0,0,0.0173168627135545,0,0.0225462410546939,0,0,0,0,0,0,0,0.00102246616241557,0,0,0.0653485685092632,0.00117631855525702,0.0612897359182578,0,0.0561208372961206,0,0.0283762327001879,0,0.000576353047894516,0,0,0.00283576251126417,0,0,0,0,0.0306628878343837,0,0.00384895405806629,0,0.0801535873756128,0,0.00188758074172665,0,0.173479742042831,0.354566768415207,0,0,0,0.0107627154268217,0,0.0238977524232386,0.0350117521114216,0.00121702892890389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0279018521728772,0,0,0,0,0,0
"2021_BOST_A_2",0,0.00297557972353812,0,0,0,0.00598433570257854,0,0,0,0,0,0,0,0.00911249838781957,0,0.102853576612314,0.00642372223298255,0.0150735195212941,0,0.010565139149218,0,0.0236538802876525,0,0.00336968913005937,0,0,0,0,0.0649718501844221,0,0,0,0,0.00108008773369676,0,0.0587598487191063,0,0.0154387920711268,0,0.183657862944162,0.252371426869369,0.00751269137371224,0,0,0.0282471283826497,0,0,0,0.184040546344906,0,0,0,0.00117349094607963,0,0.0227343336833125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
