"","bottle","taxon","simple.N","simple.mean","simple.SD"
"1","e00289","Agonopsis vulsa",2,0,0
"2","e00289","Ammodytes personatus",2,0,0
"3","e00289","Anoplarchus",2,0.0308966074313409,0.0436944012607196
"4","e00289","Anoplopoma fimbria",2,0,0
"5","e00289","Apodichthys flavidus",2,0,0
"6","e00289","Artedius fenestralis",2,0,0
"7","e00289","Artedius harringtoni",2,0,0
"8","e00289","Artedius lateralis",2,0,0
"9","e00289","Aulorhynchus flavidus",2,0,0
"10","e00289","Blepsias bilobus",2,0,0
"11","e00289","Blepsias cirrhosus",2,0,0
"12","e00289","Brachyistius frenatus",2,0,0
"13","e00289","Chitonotus pugetensis",2,0,0
"14","e00289","Citharichthys sordidus",2,0,0
"15","e00289","Citharichthys stigmaeus",2,0,0
"16","e00289","Clinocottus acuticeps",2,0,0
"17","e00289","Clinocottus embryum",2,0,0
"18","e00289","Clupea pallasii",2,0.0521001615508885,0.0736807550670958
"19","e00289","Cottidae",2,0,0
"20","e00289","Cottus",2,0,0
"21","e00289","Cryptacanthodes giganteus",2,0,0
"22","e00289","Cymatogaster aggregata",2,0.222536348949919,0.314713922805967
"23","e00289","Embiotoca lateralis",2,0,0
"24","e00289","Enophrys bison",2,0,0
"25","e00289","Gadus",2,0,0
"26","e00289","Gasterosteus aculeatus",2,0,0
"27","e00289","Gobiesox maeandricus",2,0,0
"28","e00289","Hemilepidotus hemilepidotus",2,0,0
"29","e00289","Hexagrammos",2,0,0
"30","e00289","Hexagrammos decagrammus",2,0,0
"31","e00289","Hippoglossus stenolepis",2,0,0
"32","e00289","Hypomesus",2,0,0
"33","e00289","Lepidogobius lepidus",2,0,0
"34","e00289","Lepidopsetta",2,0,0
"35","e00289","Leptocottus armatus",2,0,0
"36","e00289","Liparis mucosus",2,0,0
"37","e00289","Lumpenus sagitta",2,0,0
"38","e00289","Microgadus proximus",2,0,0
"39","e00289","Micropterus",2,0.0751211631663974,0.106237367771161
"40","e00289","Myoxocephalus",2,0,0
"41","e00289","Nautichthys oculofasciatus",2,0,0
"42","e00289","Oligocottus maculosus",2,0,0
"43","e00289","Oligocottus snyderi",2,0,0
"44","e00289","Oncorhynchus",2,0,0
"45","e00289","Oncorhynchus clarkii",2,0,0
"46","e00289","Oncorhynchus gorbuscha",2,0.0589660743134087,0.0833906220139224
"47","e00289","Oncorhynchus keta",2,0.560379644588045,0.621717068918867
"48","e00289","Oncorhynchus kisutch",2,0,0
"49","e00289","Oncorhynchus nerka",2,0,0
"50","e00289","Oncorhynchus tshawytscha",2,0,0
"51","e00289","Ophiodon elongatus",2,0,0
"52","e00289","Oxylebius pictus",2,0,0
"53","e00289","Pholis laeta",2,0,0
"54","e00289","Phytichthys chirus",2,0,0
"55","e00289","Pleuronectidae 1",2,0,0
"56","e00289","Pleuronectidae 2",2,0,0
"57","e00289","Pleuronectidae 3",2,0,0
"58","e00289","Pleuronichthys coenosus",2,0,0
"59","e00289","Podothecus accipenserinus",2,0,0
"60","e00289","Rhamphocottus richardsonii",2,0,0
"61","e00289","Rhinogobiops nicholsii",2,0,0
"62","e00289","Ronquilus jordani",2,0,0
"63","e00289","Salvelinus",2,0,0
"64","e00289","Scorpaenichthys marmoratus",2,0,0
"65","e00289","Sebastes 1",2,0,0
"66","e00289","Sebastes 2",2,0,0
"67","e00289","Sebastes 3",2,0,0
"68","e00289","Sebastes entomelas",2,0,0
"69","e00289","Sebastes nigrocinctus",2,0,0
"70","e00289","Sebastolobus",2,0,0
"71","e00289","Stichaeidae",2,0,0
"72","e00289","Stichaeus punctatus",2,0,0
"73","e00289","Synchirus gilli",2,0,0
"74","e00289","Syngnathus leptorhynchus",2,0,0
"75","e00289","Xiphister",2,0,0
"76","e00289","Zaprora silenus",2,0,0
"77","e00291","Agonopsis vulsa",3,0,0
"78","e00291","Ammodytes personatus",3,0,0
"79","e00291","Anoplarchus",3,0.000124703828407532,0.000215993366700197
"80","e00291","Anoplopoma fimbria",3,0,0
"81","e00291","Apodichthys flavidus",3,0,0
"82","e00291","Artedius fenestralis",3,0.00083281282531751,0.00144247412664491
"83","e00291","Artedius harringtoni",3,0,0
"84","e00291","Artedius lateralis",3,0,0
"85","e00291","Aulorhynchus flavidus",3,0,0
"86","e00291","Blepsias bilobus",3,0,0
"87","e00291","Blepsias cirrhosus",3,0,0
"88","e00291","Brachyistius frenatus",3,0,0
"89","e00291","Chitonotus pugetensis",3,0,0
"90","e00291","Citharichthys sordidus",3,0,0
"91","e00291","Citharichthys stigmaeus",3,0,0
"92","e00291","Clinocottus acuticeps",3,0,0
"93","e00291","Clinocottus embryum",3,0,0
"94","e00291","Clupea pallasii",3,0.0426504791976028,0.0736834173112773
"95","e00291","Cottidae",3,0,0
"96","e00291","Cottus",3,0,0
"97","e00291","Cryptacanthodes giganteus",3,0,0
"98","e00291","Cymatogaster aggregata",3,0.00106161825688973,0.00152629244412298
"99","e00291","Embiotoca lateralis",3,0,0
"100","e00291","Enophrys bison",3,0,0
"101","e00291","Gadus",3,0,0
"102","e00291","Gasterosteus aculeatus",3,0,0
"103","e00291","Gobiesox maeandricus",3,0,0
"104","e00291","Hemilepidotus hemilepidotus",3,0,0
"105","e00291","Hexagrammos",3,0,0
"106","e00291","Hexagrammos decagrammus",3,0,0
"107","e00291","Hippoglossus stenolepis",3,0,0
"108","e00291","Hypomesus",3,0,0
"109","e00291","Lepidogobius lepidus",3,0,0
"110","e00291","Lepidopsetta",3,0,0
"111","e00291","Leptocottus armatus",3,0,0
"112","e00291","Liparis mucosus",3,0,0
"113","e00291","Lumpenus sagitta",3,3.64617516225479e-05,6.315360634321e-05
"114","e00291","Microgadus proximus",3,0,0
"115","e00291","Micropterus",3,0,0
"116","e00291","Myoxocephalus",3,0,0
"117","e00291","Nautichthys oculofasciatus",3,0,0
"118","e00291","Oligocottus maculosus",3,0.0241012178225042,0.0417445337928618
"119","e00291","Oligocottus snyderi",3,0,0
"120","e00291","Oncorhynchus",3,0.549073115126512,0.246106131343733
"121","e00291","Oncorhynchus clarkii",3,0,0
"122","e00291","Oncorhynchus gorbuscha",3,0.0103504177578252,0.0179274494361163
"123","e00291","Oncorhynchus keta",3,0.0521549031855091,0.0903349421811376
"124","e00291","Oncorhynchus kisutch",3,0,0
"125","e00291","Oncorhynchus nerka",3,0,0
"126","e00291","Oncorhynchus tshawytscha",3,0,0
"127","e00291","Ophiodon elongatus",3,0,0
"128","e00291","Oxylebius pictus",3,0,0
"129","e00291","Pholis laeta",3,0.279085526015361,0.3424452092607
"130","e00291","Phytichthys chirus",3,0,0
"131","e00291","Pleuronectidae 1",3,0,0
