"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"e00005-A",4708,4698,4685,4669,4610,4207
"e00005-B",9806,9792,9768,9760,9672,8913
"e00005-C",10849,10846,10820,10802,10697,9894
"e00007-A",4803,4798,4767,4766,3460,3100
"e00007-B",6985,6974,6957,6939,6831,6294
"e00007-C",8862,8847,8821,8813,8706,8002
"e00010-A",3730,3726,3720,3694,3627,3160
"e00010-B",11345,11322,11271,11219,10973,9645
"e00010-C",12405,12390,12358,12290,12131,10825
"e00011-A",3134,3131,3119,3108,3041,2580
"e00011-B",9582,9570,9541,9533,9353,8151
"e00011-C",6766,6755,6725,6721,6463,5400
"e00012-A",4765,4760,4741,4727,4627,4113
"e00012-B",10950,10926,10899,10862,10732,9488
"e00012-C",11782,11773,11753,11705,11526,10442
"e00013-A",5221,5212,5200,5193,5082,4410
"e00013-B",12358,12336,12292,12290,12098,10787
"e00013-C",12560,12551,12525,12494,12282,10826
"e00014-A",5075,5071,5063,5046,4940,4317
"e00014-B",15156,15115,15066,15005,11202,10142
"e00014-C",14554,14527,14481,14447,11665,10583
"e00015-A",4030,4023,4007,4014,3972,3514
"e00015-B",9270,9247,9204,9215,9069,8066
"e00015-C",10998,10985,10946,10946,10615,9690
"e00016-A",3246,3242,3234,3198,3135,2698
"e00016-B",7988,7965,7950,7864,7737,6914
"e00016-C",8249,8234,8215,8140,8000,7286
"e00017-A",4,2,1,1,0,0
"e00017-B",2530,2525,2518,2515,2502,2478
"e00017-C",19,16,13,12,7,7
"e00289-A",1590,1587,1584,1577,1576,1574
"e00289-B",14634,14578,14560,14546,3335,3333
"e00289-C",3729,3719,3710,3700,3693,3691
"e00290-A",5985,5972,5967,5960,363,363
"e00290-B",4,4,2,1,0,0
"e00290-C",12,11,10,10,0,0
"e00291-A",3063,3056,3050,3053,3043,2293
"e00291-B",17748,17710,17674,17657,17209,17139
"e00291-C",5628,5616,5604,5587,5569,5484
"e00292-A",59,59,56,58,44,44
"e00292-B",177,177,174,171,169,169
"e00292-C",488,487,484,483,78,76
"e00293-A",3991,3986,3979,3980,3946,3221
"e00293-B",14376,14346,14318,14289,14200,12569
"e00293-C",14645,14615,14587,14574,14433,13993
"e00294-A",5642,5624,5612,5614,5579,5075
"e00294-B",12650,12623,12579,12581,12484,12368
"e00294-C",16206,16176,16159,16120,16001,15177
"e00295-A",8357,8352,8341,8335,8303,8161
"e00295-B",16013,15997,15986,15957,15904,15698
"e00295-C",16515,16493,16470,16473,16224,16106
"e00296-A",2359,2353,2320,2313,2284,2275
"e00296-B",7760,7733,7622,7683,7498,7278
"e00296-C",42570,42431,42323,42305,41830,41551
"e00297-A",8505,8493,8460,8455,8331,7841
"e00297-B",20840,20801,20702,20713,20423,19611
"e00297-C",19944,19921,19864,19834,19637,18905
"e00298-A",17547,17505,17468,17423,7483,7043
"e00298-B",33581,33438,33362,33326,18156,16657
"e00298-C",20711,20676,20632,20599,20371,19926
"e00299-A",8072,8063,8038,8025,7964,7684
"e00299-B",20410,20377,20295,20303,20027,19357
"e00299-C",18931,18905,18852,18826,18684,17461
"e00300-A",15363,15324,15299,15283,2058,2058
"e00300-B",2849,2843,2839,2838,2829,2829
"e00300-C",8614,8606,8586,8566,8530,8530
"e00301-A",9873,9852,9825,9822,9298,8753
"e00301-B",20892,20852,20811,20779,20625,19617
