sample,read_type,count
e00005-A,input,4693
e00005-A,filtered,4684
e00005-A,denoisedF,4680
e00005-A,denoisedR,4663
e00005-A,merged,4612
e00005-A,nonchim,4209
e00005-B,input,9779
e00005-B,filtered,9773
e00005-B,denoisedF,9760
e00005-B,denoisedR,9744
e00005-B,merged,9680
e00005-B,nonchim,8924
e00005-C,input,10814
e00005-C,filtered,10810
e00005-C,denoisedF,10795
e00005-C,denoisedR,10780
e00005-C,merged,10704
e00005-C,nonchim,9898
e00007-A,input,4790
e00007-A,filtered,4787
e00007-A,denoisedF,4763
e00007-A,denoisedR,4765
e00007-A,merged,3461
e00007-A,nonchim,3104
e00007-B,input,6956
e00007-B,filtered,6946
e00007-B,denoisedF,6933
e00007-B,denoisedR,6922
e00007-B,merged,6839
e00007-B,nonchim,6299
e00007-C,input,8832
e00007-C,filtered,8821
e00007-C,denoisedF,8799
e00007-C,denoisedR,8802
e00007-C,merged,8715
e00007-C,nonchim,8013
e00010-A,input,3721
e00010-A,filtered,3718
e00010-A,denoisedF,3715
e00010-A,denoisedR,3693
e00010-A,merged,3629
e00010-A,nonchim,3158
e00010-B,input,11298
e00010-B,filtered,11283
e00010-B,denoisedF,11253
e00010-B,denoisedR,11196
e00010-B,merged,10987
e00010-B,nonchim,9649
e00010-C,input,12362
e00010-C,filtered,12351
e00010-C,denoisedF,12331
e00010-C,denoisedR,12307
e00010-C,merged,12139
e00010-C,nonchim,10837
e00011-A,input,3117
e00011-A,filtered,3115
e00011-A,denoisedF,3113
e00011-A,denoisedR,3100
e00011-A,merged,3044
e00011-A,nonchim,2585
e00011-B,input,9549
e00011-B,filtered,9540
e00011-B,denoisedF,9522
e00011-B,denoisedR,9510
e00011-B,merged,9375
e00011-B,nonchim,8166
e00011-C,input,6741
e00011-C,filtered,6734
e00011-C,denoisedF,6717
e00011-C,denoisedR,6706
e00011-C,merged,6464
e00011-C,nonchim,5398
e00012-A,input,4744
e00012-A,filtered,4741
e00012-A,denoisedF,4727
e00012-A,denoisedR,4719
e00012-A,merged,4627
e00012-A,nonchim,4113
e00012-B,input,10913
e00012-B,filtered,10894
e00012-B,denoisedF,10882
