"","sample.PCR","sample","rep","count","taxon","taxonomic_level","SampleCode","Sample_label","Sample_rep","Sample_date","Extraction_date"
"1","e00005-A","e00005","A",39,"Clupeidae","family",NA,NA,NA,NA,NA
"2","e00005-A","e00005","A",1678,"Anoplopoma_fimbria","species",NA,NA,NA,NA,NA
"3","e00005-A","e00005","A",1542,"Sebastidae","family",NA,NA,NA,NA,NA
"4","e00005-A","e00005","A",435,"Gadidae","family",NA,NA,NA,NA,NA
"5","e00005-A","e00005","A",451,"Anarrhichthys_ocellatus","species",NA,NA,NA,NA,NA
"6","e00005-A","e00005","A",33,"Hexagrammos","genus",NA,NA,NA,NA,NA
"7","e00005-A","e00005","A",6,"Oncorhynchus","genus",NA,NA,NA,NA,NA
"8","e00005-A","e00005","A",20,"Hexagrammos_decagrammus","species",NA,NA,NA,NA,NA
"9","e00005-A","e00005","A",2,"Bathymaster","genus",NA,NA,NA,NA,NA
"10","e00005-B","e00005","B",111,"Clupeidae","family",NA,NA,NA,NA,NA
"11","e00005-B","e00005","B",3205,"Anoplopoma_fimbria","species",NA,NA,NA,NA,NA
"12","e00005-B","e00005","B",3072,"Sebastidae","family",NA,NA,NA,NA,NA
"13","e00005-B","e00005","B",822,"Gadidae","family",NA,NA,NA,NA,NA
"14","e00005-B","e00005","B",1318,"Anarrhichthys_ocellatus","species",NA,NA,NA,NA,NA
"15","e00005-B","e00005","B",76,"Hexagrammos","genus",NA,NA,NA,NA,NA
"16","e00005-B","e00005","B",160,"Oncorhynchus","genus",NA,NA,NA,NA,NA
"17","e00005-B","e00005","B",131,"Hexagrammos_decagrammus","species",NA,NA,NA,NA,NA
"18","e00005-B","e00005","B",29,"Bathymaster","genus",NA,NA,NA,NA,NA
"19","e00005-C","e00005","C",4210,"Anoplopoma_fimbria","species",NA,NA,NA,NA,NA
"20","e00005-C","e00005","C",3526,"Sebastidae","family",NA,NA,NA,NA,NA
"21","e00005-C","e00005","C",745,"Gadidae","family",NA,NA,NA,NA,NA
"22","e00005-C","e00005","C",1113,"Anarrhichthys_ocellatus","species",NA,NA,NA,NA,NA
"23","e00005-C","e00005","C",8,"Oncorhynchus","genus",NA,NA,NA,NA,NA
"24","e00005-C","e00005","C",155,"Hexagrammos_decagrammus","species",NA,NA,NA,NA,NA
"25","e00005-C","e00005","C",58,"Stichaeidae","family",NA,NA,NA,NA,NA
"26","e00005-C","e00005","C",83,"Enophrys_diceraus","species",NA,NA,NA,NA,NA
"27","e00007-A","e00007","A",1034,"Anoplopoma_fimbria","species",NA,NA,NA,NA,NA
"28","e00007-A","e00007","A",1088,"Sebastidae","family",NA,NA,NA,NA,NA
"29","e00007-A","e00007","A",304,"Gadidae","family",NA,NA,NA,NA,NA
"30","e00007-A","e00007","A",522,"Anarrhichthys_ocellatus","species",NA,NA,NA,NA,NA
"31","e00007-A","e00007","A",78,"Oncorhynchus","genus",NA,NA,NA,NA,NA
"32","e00007-A","e00007","A",49,"Hexagrammos_decagrammus","species",NA,NA,NA,NA,NA
"33","e00007-A","e00007","A",28,"Bathymaster","genus",NA,NA,NA,NA,NA
"34","e00007-A","e00007","A",1,"Homo_sapiens","species",NA,NA,NA,NA,NA
"35","e00007-B","e00007","B",201,"Clupeidae","family",NA,NA,NA,NA,NA
"36","e00007-B","e00007","B",1933,"Anoplopoma_fimbria","species",NA,NA,NA,NA,NA
"37","e00007-B","e00007","B",1985,"Sebastidae","family",NA,NA,NA,NA,NA
"38","e00007-B","e00007","B",604,"Gadidae","family",NA,NA,NA,NA,NA
"39","e00007-B","e00007","B",1021,"Anarrhichthys_ocellatus","species",NA,NA,NA,NA,NA
"40","e00007-B","e00007","B",40,"Hexagrammos","genus",NA,NA,NA,NA,NA
"41","e00007-B","e00007","B",145,"Oncorhynchus","genus",NA,NA,NA,NA,NA
"42","e00007-B","e00007","B",33,"Hexagrammos_decagrammus","species",NA,NA,NA,NA,NA
"43","e00007-B","e00007","B",95,"Bathymaster","genus",NA,NA,NA,NA,NA
"44","e00007-B","e00007","B",27,"Stichaeidae","family",NA,NA,NA,NA,NA
"45","e00007-B","e00007","B",207,"Enophrys_diceraus","species",NA,NA,NA,NA,NA
"46","e00007-C","e00007","C",200,"Clupeidae","family",NA,NA,NA,NA,NA
"47","e00007-C","e00007","C",2670,"Anoplopoma_fimbria","species",NA,NA,NA,NA,NA
"48","e00007-C","e00007","C",2555,"Sebastidae","family",NA,NA,NA,NA,NA
"49","e00007-C","e00007","C",618,"Gadidae","family",NA,NA,NA,NA,NA
"50","e00007-C","e00007","C",1495,"Anarrhichthys_ocellatus","species",NA,NA,NA,NA,NA
"51","e00007-C","e00007","C",54,"Hexagrammos","genus",NA,NA,NA,NA,NA
"52","e00007-C","e00007","C",260,"Oncorhynchus","genus",NA,NA,NA,NA,NA
"53","e00007-C","e00007","C",52,"Hexagrammos_decagrammus","species",NA,NA,NA,NA,NA
"54","e00007-C","e00007","C",50,"Bathymaster","genus",NA,NA,NA,NA,NA
"55","e00007-C","e00007","C",56,"Liparis","genus",NA,NA,NA,NA,NA
"56","e00010-A","e00010","A",96,"Clupeidae","family",NA,NA,NA,NA,NA
"57","e00010-A","e00010","A",1110,"Anoplopoma_fimbria","species",NA,NA,NA,NA,NA
"58","e00010-A","e00010","A",938,"Sebastidae","family",NA,NA,NA,NA,NA
"59","e00010-A","e00010","A",385,"Gadidae","family",NA,NA,NA,NA,NA
"60","e00010-A","e00010","A",343,"Anarrhichthys_ocellatus","species",NA,NA,NA,NA,NA
"61","e00010-A","e00010","A",43,"Hexagrammos","genus",NA,NA,NA,NA,NA
"62","e00010-A","e00010","A",134,"Oncorhynchus","genus",NA,NA,NA,NA,NA
"63","e00010-A","e00010","A",78,"Hexagrammos_decagrammus","species",NA,NA,NA,NA,NA
"64","e00010-A","e00010","A",10,"Bathymaster","genus",NA,NA,NA,NA,NA
"65","e00010-A","e00010","A",4,"Stichaeidae","family",NA,NA,NA,NA,NA
"66","e00010-A","e00010","A",9,"Enophrys_diceraus","species",NA,NA,NA,NA,NA
"67","e00010-A","e00010","A",8,"Salmonidae","family",NA,NA,NA,NA,NA
"68","e00010-B","e00010","B",339,"Clupeidae","family",NA,NA,NA,NA,NA
"69","e00010-B","e00010","B",3215,"Anoplopoma_fimbria","species",NA,NA,NA,NA,NA
"70","e00010-B","e00010","B",2775,"Sebastidae","family",NA,NA,NA,NA,NA
"71","e00010-B","e00010","B",1263,"Gadidae","family",NA,NA,NA,NA,NA
