Common name,species,taxid,unique_spp,other_spp,Reference_sequence,gBlock_ID
Pacific sandlance,Ammodytes personatus,215382,no,Ammodytes japonicus,NC_021374.1,Ammodytes personatus
Silverspotted sculpin,Blepsias cirrhosus,573213,yes,NA,LC493928.1,Blepsias cirrhosus
Pacific herring,Clupea pallasii,30724,yes,NA,NC_009578.1,Clupea pallasii
Shiner perch,Cymatogaster aggregata,50794,yes,NA,NC_009059.1,Cymatogaster aggregata
Pacific cod,Gadus macrocephalus,80720,no,Gadus chalcogrammus; Gadus morhua,NC_036931.1,Gadus sp.
Three-spine stickleback,Gasterosteus aculeatus,69293,no,Gasterosteus nipponicus,NC_041244.1,Gasterosteus aculeatus
Whitespotted greenling,Hexagrammos stelleri,192378,no,"Hexagrammos agrammus, Hexagrammos lagocephalus, Hexagrammos octogrammus",NC_082810.1,Hexagrammos sp.
Pacific rock sole,Lepidopsetta bilineata,195623,no,Lepidopsetta polyxystra,NC_082755.1,Lepidopsetta sp.
Pacific staghorn sculpin,Leptocottus armatus,214925,yes,NA,OR58704.1,Leptocottus armatus
Yellowfin sole,Limanda aspera,195624,no,Limanda limanda,NC_028281.1,Limanda aspera
Snake prickleback,Lumpenus sagitta,428036,yes,NA,NC_082807.1,Lumpenus sagitta
Pink salmon,Oncorhynchus gorbuscha,8017,yes,NA,NC_010959.1,Oncorhynchus gorbuscha
Chum salmon,Oncorhynchus keta,8018,yes,NA,NC_017838.1,Oncorhynchus keta
Coho salmon,Oncorhynchus kisutch,8019,yes,NA,NC_009263.1,Oncorhynchus kisutch
Sockeye salmon,Oncorhynchus nerka,8023,no,Oncorhynchus kawamurae,NC_008615.1,Oncorhynchus nerka
Chinook salmon,Oncorhynchus tshawytscha,74940,yes,NA,NC_002980.1,Oncorhynchus tshawytscha
Lingcod,Ophiodon elongatus,225387,yes,NA,NC_026887.1,Ophiodon elongatus
Crescent gunnels,Pholis laeta,283367,yes,NA,LC092020.1,Pholis laeta
Brown rockfish,Sebastes auriculatus,72057,yes,NA,NC_082772.1,Sebastes auriculatus
Copper rockfish,Sebastes caurinus,72063,no,Sebastes maliger,NC_066933.1,Sebastes caurinus/Sebastes maliger
Yellowtail rockfish,Sebastes flavidus,42076,no,"Sebastes schlegelii, Sebastes thompsoni, Sebastes ventricosus, Sebastes cheni, Sebastes miniatus, Sebastes zacentrus, Sebastes proriger, Sebastes brevispinis, Sebastes melanops, Sebastes helvomaculatus, Sebastes flavidus, Sebastes alutus, Sebastes aleutianus, Sebastes babcocki, Sebastes elongatus, Sebastes emphaeus, Sebastes pinniger, Sebastes rosaceus, Sebastes ruberrimus, Sebastes inermis, Sebastes nudus, Sebastes steindachneri, Sebastes taczanowskii, Sebastes pachycephalus, Sebastes joyneri, Sebastes baramenuke, Sebastes hubbsi, Sebastes wakiyai",NC_082767.1,Sebastes sp.
Bay pipefish,Syngnathus leptorhynchus,161587,no,"Syngnathus euchrous, Syngnathus californiensis",NC_0637777.1,Syngnathus leptorhynchus
Saffron cod,Eleginus gracilis,8047,yes,NA,NC_045206.1,Eleginus gracilis
Arctic cod,Boreogadus saida,44932,yes,NA,NC_010121.1,Boreogadus saida
