site,bay_code,bay_sample,bay_id,habitat,year ,date ,seine,eDNA
Sylburn harbor - eel,SYLB,A,SYLB_A,eelgrass,2021,6/8/2021,yes,yes
Sylburn harbor - kelp,SYLB,B,SYLB_B,kelp,2021,6/9/2021,yes,yes
Reef harbor - eel,REEF,A,REEF_A,eelgrass,2021,6/10/2021,yes,yes
Reef harbor - kelp,REEF,B,REEF_B,kelp,2021,6/13/2021,yes,yes
Kah Shakes - eel,KAHS,A,KAHS_A,eelgrass,2021,6/11/2021,yes,yes
Kah Shakes - kelp,KAHS,B,KAHS_B,kelp,2021,6/12/2021,yes,yes
Dall bay - eel,DALL,A,DALL_A,eelgrass,2021,6/14/2021,yes,yes
Dall bay - kelp,DALL,B,DALL_B,kelp,2021,6/15/2021,yes,yes
Moira sound - eel,MOIR,A,MOIR_A,eelgrass,2021,6/22/2021,yes,yes
Moira sound - kelp,MOIR,B,MOIR_B,kelp,2021,6/23/2021,yes,yes
Tah Bay - eel,TAHB,A,TAHB_A,eelgrass,2021,6/27/2021,yes,yes
Nichols - kelp,NICH,B,NICH_B,kelp,2021,6/25/2021,yes,yes
Nichols - eel,NICH,A,NICH_A,eelgrass,2021,6/26/2021,yes,yes
Hunter Bay - eel,HUNT,A,HUNT_A,eelgrass,2021,6/28/2021,yes,yes
Refugio - eel,REFU,A,REFU_A,eelgrass,2021,7/10/2021,yes,no
Shinaku - eel (7/12),SHIN,A,SHIN_A,eelgrass,2021,07/12/2021,yes,no
Shinaku - eel (7/22),SHIN,A,SHIN_A,eelgrass,2021,07/22/2021,no,no
North Fish Egg - eel (7/11),NFEI,A,NFEI_A,eelgrass,2021,07/11/2021,yes,no
North Fish Egg - eel (7/21),NFEI,A,NFEI_A,eelgrass,2021,07/21/2021,no,no
Nossuk - eel (7/13),NOSK,A,NOSK_A,eelgrass,2021,07/13/2021,yes,no
Nossuk - eel (7/26),NOSK,A,NOSK_A,eelgrass,2021,07/26/2021,no,no
Guktu - eel,GUKT,A,GUKT_A,eelgrass,2021,7/14/2021,yes,no
Naztuhini - eel,NATZ,A,NATZ_A,eelgrass,2021,7/9/2021,yes,no
Bostwick inlet - eel,BOST,A,BOST_A,eelgrass,2021,08/12/2021,yes,yes
Bostwick inlet - kelp,BOST,B,BOST_B,kelp,2021,08/11/2021,yes,yes
Klawock airport,KLWA,A,KLWA_A,eelgrass,2021,08/07/2021,no,yes
Clam island-eel,CLAM,A,CLAM_A,eelgrass,2021,08/08/2021,no,yes
Clam island-kelp,CLAM,A,CLAM_A,kelp,2021,08/08/2021,no,yes
NFEI point,NFEI,B,NFEI_B,mixed,2021,08/09/2021,no,yes
Big Tree Bay,BTRB,A,BTRB_A,eelgrass,2021,08/06/2021,no,yes
Pt. Ildefonso,ILDE,A,ILDE_A,mixed,2022,06/26/2022,yes,yes
Clam island,CLAM,A,CLAM_A,mixed,2022,06/27/2022,yes,yes
Rosary,ROSA,A,ROSA_A,eelgrass,2022,06/28/2022,yes,yes
Triste pt,TRIS,A,TRIS_A,eelgrass,2022,06/29/2022,yes,yes
Santa Rita,SARI,A,SARI_A,mixed,2022,06/30/2022,yes,yes
Harmony Island,HARM,A,HARM_A,mixed,2022,07/01/2022,yes,yes
Blanquizal Point,BLAQ,A,BLAQ_A,mixed,2022,07/02/2022,yes,yes
North St. Philips,NSTP,A,NSTP_A,mixed,2022,07/03/2022,yes,yes
Abbess Island,ABES,A,ABES_A,eelgrass,2022,07/18/2022,yes,yes
Shinaku Inlet,SHIN,A,SHIN_A,eelgrass,2022,07/14/2022,yes,yes
Natzuhini,NATZ,A,NATZ_A,eelgrass,2022,07/16/2022,yes,yes
Nossuk Bay,NOSK,A,NOSK_A,eelgrass,2022,07/13/2022,yes,yes
Port Refugio,REFU,A,REFU_A,eelgrass,2022,07/15/2022,yes,yes
South Fish Egg Island,SFEI,A,SFEI_A,mixed,2022,07/11/2022,yes ,yes
Guktu Bay,GUKT,A,GUKT_A,eelgrass,2022,07/12/2022,yes,yes
North Fish Egg Island,NFEI,A,NFEI_A,eelgrass,2022,07/17/2022,yes,yes
Klawock Airport,KLWA,A,KLWA_A,eelgrass,2022,07/25/2022,yes,yes
Halibut Nose,HALI,A,HALI_A,mixed,2022,07/26/2022,yes,yes
Karheen,KARH,A,KARH_A,mixed,2022,07/27/2022,yes,yes
,,,,,,,,
,,,,,,,40,40
,,,,,,,this actually might be 39,
